Symbol,Date,Open,High,Low,Close,Volume,Category
SUZLON,2025-09-19,59.25,60.61,59.06,60.4,84643232,Mid Cap
ASHOKLEY,2025-09-19,139.0,142.63,138.89,140.89,29812677,Mid Cap
NHPC,2025-09-19,87.53,89.22,87.3,87.82,25192808,Mid Cap
UNIONBANK,2025-09-19,136.8,141.23,136.52,140.3,23479611,Mid Cap
GMRAIRPORT,2025-09-19,91.76,93.78,91.75,92.53,18989198,Mid Cap
BHEL,2025-09-19,233.94,241.35,233.71,237.17,14496280,Mid Cap
BIOCON,2025-09-19,370.6,373.85,367.6,369.2,14210253,Mid Cap
INDUSINDBK,2025-09-19,738.0,746.95,736.15,744.4,8190278,Mid Cap
ADANIENT,2025-09-19,2495.0,2579.0,2466.1,2524.0,7965135,Mid Cap
INDUSTOWER,2025-09-19,354.3,361.7,350.95,356.85,7422079,Mid Cap
GAIL,2025-09-19,181.1,182.05,180.5,181.65,6567199,Mid Cap
RVNL,2025-09-19,361.9,367.7,361.15,363.45,6433354,Mid Cap
NTPCGREEN,2025-09-19,103.88,104.18,103.29,104.03,5926468,Mid Cap
PAYTM,2025-09-19,1225.0,1234.7,1163.9,1177.2,4853122,Mid Cap
MAXHEALTH,2025-09-19,1170.0,1176.4,1151.2,1159.7,4839925,Mid Cap
LTF,2025-09-19,247.04,249.03,245.44,246.7,4800420,Mid Cap
ABCAPITAL,2025-09-19,290.95,292.3,288.5,289.15,4509263,Mid Cap
VBL,2025-09-19,472.0,476.45,470.1,474.45,4399593,Mid Cap
NYKAA,2025-09-19,246.5,247.77,243.04,243.62,3704175,Mid Cap
MARICO,2025-09-19,721.0,723.9,716.0,720.15,3589676,Mid Cap
AMBUJACEM,2025-09-19,588.0,588.5,578.2,582.45,3482230,Mid Cap
LAURUSLABS,2025-09-19,926.0,944.0,917.1,932.1,3380153,Mid Cap
AUBANK,2025-09-19,719.65,724.0,711.25,718.7,3207374,Mid Cap
POLICYBZR,2025-09-19,1787.0,1819.7,1771.1,1809.6,2853198,Mid Cap
BSE,2025-09-19,2200.0,2212.0,2180.0,2182.6,2777471,Mid Cap
FORTIS,2025-09-19,967.6,968.5,950.35,953.95,2694235,Mid Cap
CHOLAFIN,2025-09-19,1568.5,1601.3,1563.3,1590.9,2436924,Mid Cap
DABUR,2025-09-19,536.95,542.8,532.7,535.45,2411369,Mid Cap
WAAREEENER,2025-09-19,3510.0,3544.9,3470.2,3526.3,1839809,Mid Cap
INDIANB,2025-09-19,701.0,710.45,697.85,701.5,1602590,Mid Cap
JUBLFOOD,2025-09-19,629.95,631.35,624.7,626.4,1518691,Mid Cap
LICI,2025-09-19,890.2,899.85,890.2,893.55,1473366,Mid Cap
VOLTAS,2025-09-19,1426.2,1437.9,1416.0,1419.9,1366319,Mid Cap
SBICARD,2025-09-19,888.0,897.2,869.5,871.65,1121241,Mid Cap
TRENT,2025-09-19,5149.0,5158.0,5074.0,5080.0,1105187,Mid Cap
NAUKRI,2025-09-19,1388.0,1388.0,1371.2,1376.1,1100226,Mid Cap
ZYDUSLIFE,2025-09-19,1050.0,1059.05,1034.0,1037.3,1054747,Mid Cap
UNOMINDA,2025-09-19,1312.6,1328.0,1307.2,1319.7,975913,Mid Cap
PRESTIGE,2025-09-19,1627.0,1634.0,1592.5,1618.7,948281,Mid Cap
JINDALSTEL,2025-09-19,1048.0,1049.95,1036.0,1046.0,943974,Mid Cap
GODREJCP,2025-09-19,1238.0,1241.9,1228.0,1238.9,914559,Mid Cap
TORNTPOWER,2025-09-19,1285.1,1297.6,1261.8,1264.5,868169,Mid Cap
MAZDOCK,2025-09-19,2978.1,3015.0,2969.1,2985.0,846040,Mid Cap
MANKIND,2025-09-19,2643.7,2671.7,2627.3,2660.6,730701,Mid Cap
KPITTECH,2025-09-19,1305.0,1309.8,1280.9,1285.2,714104,Mid Cap
LUPIN,2025-09-19,2052.0,2061.0,2041.5,2055.6,712388,Mid Cap
COLPAL,2025-09-19,2366.0,2379.2,2334.0,2337.9,695716,Mid Cap
TATACOMM,2025-09-19,1690.9,1729.7,1674.0,1684.4,660439,Mid Cap
PERSISTENT,2025-09-19,5550.5,5593.5,5476.0,5506.0,659556,Mid Cap
HAVELLS,2025-09-19,1600.0,1610.0,1586.5,1590.8,551120,Mid Cap
SYNGENE,2025-09-19,659.0,666.75,656.3,665.45,505847,Mid Cap
TATACHEM,2025-09-19,985.5,1001.8,983.05,993.6,482023,Mid Cap
MUTHOOTFIN,2025-09-19,2975.0,2990.0,2918.0,2934.9,423706,Mid Cap
CUMMINSIND,2025-09-19,4105.0,4122.0,4065.4,4080.4,421987,Mid Cap
PIDILITIND,2025-09-19,3071.4,3078.0,3040.7,3048.3,413356,Mid Cap
