Symbol,Date,Open,High,Low,Close,Volume,Category
GAIL,2025-10-16,177.3699951171875,180.8000030517578,177.10000610351562,179.1699981689453,11916067,Mid Cap
LTF,2025-10-16,265.0,273.57000732421875,264.9200134277344,269.19000244140625,11132581,Mid Cap
NHPC,2025-10-16,87.12999725341797,87.3499984741211,86.0999984741211,86.94999694824219,10550766,Mid Cap
ASHOKLEY,2025-10-16,135.97999572753906,137.89999389648438,135.49000549316406,137.24000549316406,9945254,Mid Cap
BSE,2025-10-16,2468.800048828125,2567.10009765625,2462.0,2509.199951171875,9182705,Mid Cap
VBL,2025-10-16,445.3500061035156,463.45001220703125,445.3500061035156,461.29998779296875,8351507,Mid Cap
GMRAIRPORT,2025-10-16,89.95999908447266,91.1500015258789,89.79000091552734,90.87000274658203,6686935,Mid Cap
INDIANB,2025-10-16,777.0,805.9500122070312,764.3499755859375,771.0499877929688,5146303,Mid Cap
UNIONBANK,2025-10-16,140.0,140.75,138.0,138.80999755859375,5114986,Mid Cap
PAYTM,2025-10-16,1281.699951171875,1305.0,1267.699951171875,1274.0,4682225,Mid Cap
BHEL,2025-10-16,236.8000030517578,237.4600067138672,233.89999389648438,236.1699981689453,4104076,Mid Cap
NTPCGREEN,2025-10-16,99.5999984741211,100.73999786376953,99.11000061035156,99.95999908447266,3983147,Mid Cap
NYKAA,2025-10-16,262.7799987792969,266.7900085449219,261.8999938964844,263.30999755859375,3666827,Mid Cap
INDUSTOWER,2025-10-16,346.54998779296875,346.54998779296875,343.3500061035156,343.95001220703125,3586739,Mid Cap
CHOLAFIN,2025-10-16,1698.0,1700.0999755859375,1653.199951171875,1668.0999755859375,3202010,Mid Cap
RVNL,2025-10-16,338.70001220703125,341.8500061035156,335.5,336.04998779296875,3198419,Mid Cap
INDUSINDBK,2025-10-16,742.9000244140625,744.8499755859375,735.0,739.5,3056162,Mid Cap
WAAREEENER,2025-10-16,3587.0,3639.0,3526.0,3627.39990234375,2970395,Mid Cap
TATACOMM,2025-10-16,1938.0,2004.0,1908.300048828125,1971.300048828125,2678789,Mid Cap
MAXHEALTH,2025-10-16,1161.4000244140625,1177.4000244140625,1159.0,1175.300048828125,2364591,Mid Cap
ABCAPITAL,2025-10-16,303.5,305.20001220703125,299.3999938964844,300.0,2119744,Mid Cap
POLICYBZR,2025-10-16,1681.800048828125,1704.699951171875,1658.0999755859375,1691.0,1990076,Mid Cap
AUBANK,2025-10-16,801.25,814.0,795.0,798.5,1864656,Mid Cap
FORTIS,2025-10-16,1095.0,1097.949951171875,1078.050048828125,1095.25,1855472,Mid Cap
HDFCAMC,2025-10-16,5790.5,5934.5,5560.5,5803.5,1622605,Mid Cap
GODREJCP,2025-10-16,1112.0,1123.0,1103.699951171875,1120.0999755859375,1472967,Mid Cap
BIOCON,2025-10-16,356.45001220703125,360.1000061035156,356.0,358.20001220703125,1381647,Mid Cap
HAVELLS,2025-10-16,1464.5999755859375,1480.0,1454.5,1475.800048828125,1287987,Mid Cap
JUBLFOOD,2025-10-16,584.7000122070312,597.0,584.5499877929688,595.2999877929688,1284584,Mid Cap
JINDALSTEL,2025-10-16,1005.7000122070312,1025.800048828125,994.0,1022.7999877929688,1248849,Mid Cap
DABUR,2025-10-16,493.8999938964844,502.0,493.8999938964844,500.75,1235158,Mid Cap
MARICO,2025-10-16,710.0,726.9500122070312,708.4000244140625,725.7000122070312,1205813,Mid Cap
TRENT,2025-10-16,4743.0,4808.5,4727.60009765625,4793.39990234375,1140719,Mid Cap
UNOMINDA,2025-10-16,1211.699951171875,1239.699951171875,1211.0999755859375,1235.199951171875,1137361,Mid Cap
AMBUJACEM,2025-10-16,569.5,573.4500122070312,566.5499877929688,569.7000122070312,1111062,Mid Cap
PRESTIGE,2025-10-16,1677.199951171875,1714.9000244140625,1677.199951171875,1696.9000244140625,1021920,Mid Cap
ADANIENT,2025-10-16,2544.800048828125,2579.699951171875,2540.89990234375,2557.60009765625,1019681,Mid Cap
LAURUSLABS,2025-10-16,877.0,886.5,871.4500122070312,872.8499755859375,1018213,Mid Cap
TORNTPOWER,2025-10-16,1309.5999755859375,1340.9000244140625,1295.4000244140625,1337.5999755859375,958840,Mid Cap
PERSISTENT,2025-10-16,5722.10009765625,5850.0,5703.2001953125,5841.5,940807,Mid Cap
VOLTAS,2025-10-16,1410.0,1423.199951171875,1405.0999755859375,1415.5999755859375,910176,Mid Cap
ZYDUSLIFE,2025-10-16,977.2999877929688,989.0,974.75,984.5999755859375,832704,Mid Cap
SYNGENE,2025-10-16,628.5,648.5,628.0999755859375,640.4000244140625,789214,Mid Cap
MAZDOCK,2025-10-16,2852.39990234375,2881.10009765625,2829.10009765625,2831.89990234375,783388,Mid Cap
LICI,2025-10-16,899.0,903.5,891.5,894.1500244140625,765524,Mid Cap
TATACHEM,2025-10-16,905.5499877929688,934.0,905.5499877929688,920.9500122070312,720899,Mid Cap
KPITTECH,2025-10-16,1170.0,1173.5,1150.0999755859375,1161.9000244140625,693456,Mid Cap
SBICARD,2025-10-16,931.0,942.9000244140625,931.0,934.8499755859375,677520,Mid Cap
SRF,2025-10-16,3100.0,3205.800048828125,3089.199951171875,3190.0,632276,Mid Cap
NAUKRI,2025-10-16,1339.699951171875,1362.9000244140625,1333.300048828125,1348.5,595437,Mid Cap
ABB,2025-10-16,5190.0,5260.0,5077.5,5212.0,542475,Mid Cap
PIDILITIND,2025-10-16,1500.0,1526.0,1500.0,1523.0,492493,Mid Cap
