Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-26,8.75,8.79,7.9,8.02,1597184100,Mid Cap
SUZLON,2025-09-26,56.96,57.23,55.15,55.28,54327709,Mid Cap
ASHOKLEY,2025-09-26,139.57,143.0,139.01,141.93,20911431,Mid Cap
INDUSTOWER,2025-09-26,355.45,357.4,344.5,346.3,10014047,Mid Cap
GAIL,2025-09-26,174.31,174.55,171.3,172.02,8759575,Mid Cap
NHPC,2025-09-26,86.43,86.5,83.51,83.64,8120869,Mid Cap
UNIONBANK,2025-09-26,138.55,138.7,133.9,134.08,8033408,Mid Cap
GMRAIRPORT,2025-09-26,88.7,89.29,86.94,87.28,7711366,Mid Cap
NTPCGREEN,2025-09-26,101.55,101.88,99.17,99.38,6987802,Mid Cap
LTF,2025-09-26,243.55,246.04,235.45,236.29,6687489,Mid Cap
INDUSINDBK,2025-09-26,742.0,742.65,710.6,712.75,5778575,Mid Cap
LAURUSLABS,2025-09-26,880.3,886.85,823.1,832.3,5609231,Mid Cap
VBL,2025-09-26,450.1,453.15,443.55,444.75,5427685,Mid Cap
ABCAPITAL,2025-09-26,287.2,287.95,277.7,278.9,4655490,Mid Cap
BSE,2025-09-26,2042.9,2084.9,2021.5,2043.2,4531721,Mid Cap
BHEL,2025-09-26,233.4,234.0,229.77,231.01,4519341,Mid Cap
AUBANK,2025-09-26,749.5,759.75,741.5,743.2,4071796,Mid Cap
BIOCON,2025-09-26,349.0,350.3,337.7,338.9,3635105,Mid Cap
WAAREEENER,2025-09-26,3375.0,3385.0,3182.0,3207.6,3602773,Mid Cap
PAYTM,2025-09-26,1140.0,1155.8,1122.0,1125.2,3460254,Mid Cap
RVNL,2025-09-26,346.95,347.7,336.55,337.8,3430959,Mid Cap
DABUR,2025-09-26,508.0,508.0,493.0,499.75,3168126,Mid Cap
ZYDUSLIFE,2025-09-26,996.2,1010.0,972.7,975.0,2574777,Mid Cap
