Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-23,8.39,8.97,8.35,8.72,212226885,Mid Cap
ASHOKLEY,2025-09-23,139.56,144.5,139.56,144.04,43630485,Mid Cap
SUZLON,2025-09-23,60.0,60.13,58.63,58.75,43152416,Mid Cap
NTPCGREEN,2025-09-23,103.84,103.94,102.8,103.01,19539744,Mid Cap
NHPC,2025-09-23,87.85,88.3,86.29,86.63,11788276,Mid Cap
UNIONBANK,2025-09-23,138.81,141.34,137.11,140.2,7618679,Mid Cap
INDUSTOWER,2025-09-23,356.15,360.0,353.35,359.1,7194465,Mid Cap
RVNL,2025-09-23,362.0,365.0,354.55,357.6,6674464,Mid Cap
GAIL,2025-09-23,181.1,181.7,178.15,178.66,6368313,Mid Cap
BHEL,2025-09-23,239.6,240.83,236.6,238.73,6141305,Mid Cap
GMRAIRPORT,2025-09-23,90.84,91.39,89.93,90.53,5911961,Mid Cap
ADANIENT,2025-09-23,2642.6,2695.0,2593.0,2676.4,5610022,Mid Cap
ABCAPITAL,2025-09-23,288.9,292.1,285.45,291.45,5157975,Mid Cap
AUBANK,2025-09-23,710.0,734.05,708.9,731.65,5080969,Mid Cap
BSE,2025-09-23,2157.0,2160.0,2086.4,2122.2,4932424,Mid Cap
MAXHEALTH,2025-09-23,1174.7,1175.0,1149.0,1157.0,4729220,Mid Cap
INDUSINDBK,2025-09-23,735.0,757.0,729.05,755.25,4501893,Mid Cap
DABUR,2025-09-23,522.0,522.0,512.65,515.0,3466804,Mid Cap
LTF,2025-09-23,248.95,249.73,244.2,246.41,3369508,Mid Cap
AMBUJACEM,2025-09-23,591.95,594.65,579.15,591.6,2989117,Mid Cap
TRENT,2025-09-23,5010.5,5019.5,4846.0,4891.0,2734495,Mid Cap
NYKAA,2025-09-23,243.1,243.56,237.1,237.71,2661574,Mid Cap
VBL,2025-09-23,464.0,466.4,458.0,458.5,2589988,Mid Cap
LICI,2025-09-23,904.45,908.65,896.45,897.65,2448827,Mid Cap
GODREJCP,2025-09-23,1231.5,1234.4,1188.4,1192.2,1902576,Mid Cap
JINDALSTEL,2025-09-23,1035.0,1069.7,1028.05,1062.7,1889834,Mid Cap
MARICO,2025-09-23,720.4,721.5,704.5,706.0,1832965,Mid Cap
CHOLAFIN,2025-09-23,1629.9,1643.7,1610.1,1623.8,1724892,Mid Cap
JUBLFOOD,2025-09-23,624.6,625.65,614.5,616.7,1702093,Mid Cap
PAYTM,2025-09-23,1196.2,1203.9,1177.6,1179.4,1697633,Mid Cap
LAURUSLABS,2025-09-23,905.1,916.4,890.95,910.05,1599124,Mid Cap
NAUKRI,2025-09-23,1422.8,1433.6,1389.0,1393.9,1526034,Mid Cap
INDIANB,2025-09-23,703.95,703.95,693.95,695.1,1352536,Mid Cap
FORTIS,2025-09-23,969.0,979.3,962.7,967.7,1333250,Mid Cap
WAAREEENER,2025-09-23,3464.0,3520.0,3420.0,3435.1,1068121,Mid Cap
KPITTECH,2025-09-23,1262.4,1275.0,1246.6,1249.7,1018057,Mid Cap
UNOMINDA,2025-09-23,1319.3,1336.1,1313.5,1317.1,1015364,Mid Cap
MAZDOCK,2025-09-23,2977.0,2991.3,2914.1,2939.5,934666,Mid Cap
MPHASIS,2025-09-23,2840.0,2840.0,2753.4,2766.6,845283,Mid Cap
BIOCON,2025-09-23,360.65,364.35,358.1,359.5,836722,Mid Cap
POLICYBZR,2025-09-23,1796.0,1810.3,1771.1,1801.6,811647,Mid Cap
PIDILITIND,2025-09-23,1534.0,1535.7,1482.7,1489.3,810500,Mid Cap
VOLTAS,2025-09-23,1376.2,1386.4,1356.0,1372.7,799766,Mid Cap
MUTHOOTFIN,2025-09-23,3070.0,3078.1,3031.1,3060.8,576185,Mid Cap
ZYDUSLIFE,2025-09-23,1035.5,1048.0,1030.3,1044.85,544814,Mid Cap
TATACHEM,2025-09-23,974.0,982.75,956.9,959.9,528618,Mid Cap
SBICARD,2025-09-23,874.5,874.85,864.0,870.3,520336,Mid Cap
PRESTIGE,2025-09-23,1615.5,1625.9,1600.0,1604.9,507009,Mid Cap
TORNTPOWER,2025-09-23,1268.0,1289.3,1265.4,1279.3,503712,Mid Cap
COLPAL,2025-09-23,2343.7,2344.8,2312.1,2324.9,484250,Mid Cap
LUPIN,2025-09-23,2017.0,2020.1,1998.3,2007.0,454836,Mid Cap
PERSISTENT,2025-09-23,5275.5,5296.5,5194.5,5240.5,450288,Mid Cap
APOLLOHOSP,2025-09-23,7725.0,7749.0,7664.5,7684.0,443181,Mid Cap
HAVELLS,2025-09-23,1581.3,1585.4,1565.0,1572.3,436090,Mid Cap
HDFCAMC,2025-09-23,5830.0,5903.5,5811.0,5883.5,317764,Mid Cap
POLYCAB,2025-09-23,7650.0,7697.0,7561.5,7620.0,317133,Mid Cap
MANKIND,2025-09-23,2590.5,2615.9,2552.6,2564.3,291468,Mid Cap
SRF,2025-09-23,2919.0,2936.5,2866.1,2903.2,256230,Mid Cap
ALKEM,2025-09-23,5549.0,5577.5,5500.0,5544.5,240178,Mid Cap
CUMMINSIND,2025-09-23,3990.0,4027.7,3981.4,4005.2,203423,Mid Cap
ESCORTS,2025-09-23,3672.0,3764.9,3585.0,3739.1,199806,Mid Cap
ABB,2025-09-23,5360.2,5375.4,5285.0,5298.7,167342,Mid Cap
SYNGENE,2025-09-23,658.0,659.1,642.0,643.65,163168,Mid Cap
LLOYDSME,2025-09-23,1310.0,1325.0,1306.1,1318.0,156488,Mid Cap
BHARTIHEXA,2025-09-23,1690.2,1714.0,1685.3,1710.0,144812,Mid Cap
TATACOMM,2025-09-23,1666.4,1675.0,1642.4,1655.3,140911,Mid Cap
TATAELXSI,2025-09-23,5595.0,5640.0,5501.0,5555.5,136231,Mid Cap
DIXON,2025-09-23,18150.0,18170.0,17998.0,18130.0,132042,Mid Cap
