Symbol,Date,Open,High,Low,Close,Volume,Category
VBL,2025-10-29,455.0,501.7,455.0,495.45,44567490,Mid Cap
NHPC,2025-10-29,85.0,87.09,84.78,86.95,17056980,Mid Cap
GAIL,2025-10-29,179.0,186.44,178.75,184.64,16216434,Mid Cap
GMRAIRPORT,2025-10-29,92.65,93.58,91.73,92.97,15092548,Mid Cap
BHEL,2025-10-29,238.44,246.7,237.0,245.39,14046107,Mid Cap
NTPCGREEN,2025-10-29,102.0,105.24,101.5,105.04,13309341,Mid Cap
LTF,2025-10-29,268.45,270.76,266.04,268.17,9391552,Mid Cap
ASHOKLEY,2025-10-29,140.48,140.64,138.45,139.48,8637758,Mid Cap
INDUSTOWER,2025-10-29,385.95,389.2,379.35,381.05,8329384,Mid Cap
UNIONBANK,2025-10-29,148.0,148.23,145.37,146.12,7276992,Mid Cap
NYKAA,2025-10-29,258.14,260.9,256.75,258.06,5007106,Mid Cap
INDUSINDBK,2025-10-29,804.0,810.05,793.8,807.45,4077629,Mid Cap
JINDALSTEL,2025-10-29,1063.0,1097.7,1058.2,1070.6,3983488,Mid Cap
RVNL,2025-10-29,328.45,334.0,327.25,332.75,3978096,Mid Cap
AMBUJACEM,2025-10-29,555.0,575.0,555.0,571.75,3787089,Mid Cap
ABCAPITAL,2025-10-29,313.0,313.5,307.5,310.8,3630708,Mid Cap
AUBANK,2025-10-29,886.0,886.45,874.4,882.45,2921775,Mid Cap
BIOCON,2025-10-29,367.55,374.75,365.6,373.7,2588388,Mid Cap
GODREJCP,2025-10-29,1120.0,1123.6,1105.0,1106.8,2535908,Mid Cap
JUBLFOOD,2025-10-29,604.0,614.9,598.0,613.05,2442944,Mid Cap
BSE,2025-10-29,2424.9,2454.0,2410.0,2447.3,2308131,Mid Cap
HDFCAMC,2025-10-29,5421.5,5469.0,5288.0,5398.0,2200227,Mid Cap
CHOLAFIN,2025-10-29,1720.0,1725.8,1686.1,1710.4,2012855,Mid Cap
MARICO,2025-10-29,720.1,724.4,718.85,721.8,1943057,Mid Cap
DABUR,2025-10-29,503.4,508.9,501.8,508.05,1880484,Mid Cap
PAYTM,2025-10-29,1310.0,1317.5,1294.0,1309.3,1793515,Mid Cap
LICI,2025-10-29,899.0,916.9,899.0,908.75,1649697,Mid Cap
INDIANB,2025-10-29,855.0,856.9,847.95,854.45,1582454,Mid Cap
ADANIENT,2025-10-29,2500.0,2600.0,2495.5,2537.4,1526734,Mid Cap
MAXHEALTH,2025-10-29,1185.0,1194.4,1181.7,1189.5,1516489,Mid Cap
POLICYBZR,2025-10-29,1775.0,1777.3,1707.6,1723.4,1470565,Mid Cap
MAZDOCK,2025-10-29,2789.0,2789.0,2727.3,2774.2,1235582,Mid Cap
FORTIS,2025-10-29,1061.0,1064.5,1051.85,1055.45,1208644,Mid Cap
NAUKRI,2025-10-29,1390.0,1408.2,1383.0,1389.1,1035864,Mid Cap
SBICARD,2025-10-29,905.7,913.0,901.25,910.95,900250,Mid Cap
LUPIN,2025-10-29,1918.7,1960.0,1918.7,1955.9,845205,Mid Cap
WAAREEENER,2025-10-29,3489.9,3495.9,3441.1,3477.6,771254,Mid Cap
ZYDUSLIFE,2025-10-29,1003.3,1015.4,999.2,1002.9,730755,Mid Cap
HAVELLS,2025-10-29,1491.0,1513.0,1484.2,1509.4,625897,Mid Cap
VOLTAS,2025-10-29,1415.0,1425.9,1386.7,1418.8,613025,Mid Cap
MPHASIS,2025-10-29,2845.0,2897.4,2801.0,2874.6,574786,Mid Cap
PIDILITIND,2025-10-29,1492.0,1510.1,1483.6,1507.3,489526,Mid Cap
TATACHEM,2025-10-29,907.55,914.75,902.1,912.5,480055,Mid Cap
MUTHOOTFIN,2025-10-29,3160.0,3192.9,3145.0,3183.2,470760,Mid Cap
TORNTPOWER,2025-10-29,1283.9,1319.0,1278.0,1313.6,452019,Mid Cap
KPITTECH,2025-10-29,1190.7,1198.7,1162.3,1194.1,446515,Mid Cap
COLPAL,2025-10-29,2235.9,2277.0,2226.1,2267.7,436074,Mid Cap
