Symbol,Date,Open,High,Low,Close,Volume,Category
ASHOKLEY,2025-10-03,141.42,142.95,138.16,139.79,15561840,Mid Cap
UNIONBANK,2025-10-03,138.78,140.45,135.29,137.71,11964819,Mid Cap
BHEL,2025-10-03,240.5,246.29,240.0,245.02,9487956,Mid Cap
LTF,2025-10-03,259.0,263.9,257.82,262.33,9109317,Mid Cap
NHPC,2025-10-03,86.5,87.15,85.6,86.93,8662889,Mid Cap
GAIL,2025-10-03,174.72,177.75,174.48,177.36,7695671,Mid Cap
ABCAPITAL,2025-10-03,300.6,304.95,297.6,303.95,7015658,Mid Cap
GMRAIRPORT,2025-10-03,89.4,90.27,89.05,89.28,6940845,Mid Cap
NTPCGREEN,2025-10-03,98.29,98.57,97.37,97.6,6382041,Mid Cap
MAXHEALTH,2025-10-03,1098.0,1110.3,1060.0,1069.2,5969792,Mid Cap
INDUSINDBK,2025-10-03,743.2,758.95,741.75,747.4,4112610,Mid Cap
VBL,2025-10-03,442.95,445.2,437.55,443.45,4069784,Mid Cap
FORTIS,2025-10-03,996.1,1004.7,970.85,980.4,3470330,Mid Cap
RVNL,2025-10-03,344.25,347.7,342.5,347.05,3140339,Mid Cap
DABUR,2025-10-03,495.05,497.8,490.75,496.15,3035129,Mid Cap
NYKAA,2025-10-03,241.0,241.0,237.1,239.81,2832768,Mid Cap
BSE,2025-10-03,2080.9,2099.9,2050.0,2093.4,2827421,Mid Cap
INDIANB,2025-10-03,742.0,769.3,742.0,765.95,2805702,Mid Cap
INDUSTOWER,2025-10-03,350.1,355.4,348.3,353.1,2694415,Mid Cap
BIOCON,2025-10-03,347.6,352.95,346.75,352.25,2628207,Mid Cap
PAYTM,2025-10-03,1148.6,1170.2,1142.0,1168.0,2467580,Mid Cap
AMBUJACEM,2025-10-03,573.9,579.95,570.3,576.15,2062648,Mid Cap
JINDALSTEL,2025-10-03,1063.0,1087.6,1049.3,1076.5,2035582,Mid Cap
LAURUSLABS,2025-10-03,872.0,881.3,862.3,864.4,1995777,Mid Cap
AUBANK,2025-10-03,722.05,743.7,720.7,741.9,1744199,Mid Cap
POLICYBZR,2025-10-03,1670.0,1712.2,1666.8,1700.5,1735777,Mid Cap
WAAREEENER,2025-10-03,3364.0,3469.0,3359.0,3438.9,1685307,Mid Cap
CHOLAFIN,2025-10-03,1607.8,1607.8,1557.8,1570.9,1515769,Mid Cap
MARICO,2025-10-03,700.0,712.75,697.6,710.95,1495780,Mid Cap
SBICARD,2025-10-03,875.7,899.0,866.7,892.05,1154618,Mid Cap
TRENT,2025-10-03,4804.0,4836.5,4738.0,4815.7,1070640,Mid Cap
HAVELLS,2025-10-03,1480.0,1491.4,1472.0,1488.1,1019221,Mid Cap
MAZDOCK,2025-10-03,2841.0,2890.0,2829.3,2881.3,970010,Mid Cap
COLPAL,2025-10-03,2228.8,2229.0,2191.6,2213.9,941401,Mid Cap
ADANIENT,2025-10-03,2595.0,2612.9,2564.4,2589.9,917651,Mid Cap
LICI,2025-10-03,904.1,912.8,900.7,905.25,891706,Mid Cap
VOLTAS,2025-10-03,1350.0,1366.1,1346.1,1360.4,873058,Mid Cap
NAUKRI,2025-10-03,1341.0,1342.7,1320.0,1333.9,785507,Mid Cap
PIDILITIND,2025-10-03,1475.6,1493.6,1471.3,1489.6,778524,Mid Cap
LUPIN,2025-10-03,1984.4,2006.1,1969.1,1973.6,763789,Mid Cap
LLOYDSME,2025-10-03,1241.5,1325.0,1237.4,1312.3,708970,Mid Cap
GODREJCP,2025-10-03,1148.6,1152.4,1135.0,1149.0,686196,Mid Cap
UNOMINDA,2025-10-03,1331.8,1331.8,1308.5,1316.0,646595,Mid Cap
MPHASIS,2025-10-03,2698.9,2742.2,2680.0,2736.9,617247,Mid Cap
PRESTIGE,2025-10-03,1549.1,1554.0,1510.3,1530.1,611466,Mid Cap
MANKIND,2025-10-03,2440.9,2460.2,2400.4,2448.0,606883,Mid Cap
KPITTECH,2025-10-03,1153.2,1160.6,1142.0,1157.7,589353,Mid Cap
JUBLFOOD,2025-10-03,619.6,630.0,619.4,628.45,580209,Mid Cap
ZYDUSLIFE,2025-10-03,996.0,1001.7,980.0,988.3,577348,Mid Cap
MUTHOOTFIN,2025-10-03,3150.0,3175.9,3106.1,3167.6,548299,Mid Cap
SRF,2025-10-03,2890.1,2925.3,2885.3,2919.4,526268,Mid Cap
SYNGENE,2025-10-03,631.0,640.6,627.5,635.5,509766,Mid Cap
TORNTPOWER,2025-10-03,1216.0,1227.0,1210.1,1221.1,492640,Mid Cap
TATACHEM,2025-10-03,921.5,928.35,910.3,925.5,490645,Mid Cap
APOLLOHOSP,2025-10-03,7441.0,7484.0,7404.0,7449.5,478143,Mid Cap
HDFCAMC,2025-10-03,5584.0,5633.5,5555.0,5591.0,435716,Mid Cap
CUMMINSIND,2025-10-03,3849.4,3950.7,3833.0,3932.7,432544,Mid Cap
PERSISTENT,2025-10-03,4975.0,5077.1,4953.7,5068.8,362977,Mid Cap
ABB,2025-10-03,5190.0,5208.5,5148.5,5183.5,291382,Mid Cap
OFSS,2025-10-03,8724.0,8984.0,8641.0,8962.0,209851,Mid Cap
TATACOMM,2025-10-03,1613.2,1622.6,1599.2,1613.8,174603,Mid Cap
TATAELXSI,2025-10-03,5222.5,5369.0,5190.0,5355.5,170657,Mid Cap
DIXON,2025-10-03,16500.0,16649.0,16393.0,16591.0,157149,Mid Cap
POLYCAB,2025-10-03,7390.0,7415.0,7309.5,7393.0,140544,Mid Cap
ESCORTS,2025-10-03,3670.0,3671.9,3557.4,3569.5,132338,Mid Cap
BHARTIHEXA,2025-10-03,1660.0,1672.0,1632.9,1639.0,119927,Mid Cap
BIRLACORPN,2025-10-03,1213.3,1226.0,1198.0,1207.1,115654,Mid Cap
ALKEM,2025-10-03,5519.0,5519.0,5425.0,5442.0,110809,Mid Cap
SUNDARMFIN,2025-10-03,4424.1,4469.9,4360.7,4412.4,67610,Mid Cap
KPIL,2025-10-03,1246.6,1253.4,1232.5,1248.9,66242,Mid Cap
PAGEIND,2025-10-03,42110.0,43135.0,41645.0,42875.0,40218,Mid Cap
ABBOTINDIA,2025-10-03,30080.0,30400.0,29830.0,29965.0,11200,Mid Cap
IDEA,2025-10-03,8.54,8.86,8.52,8.82,721854709,Small Cap
SAIL,2025-10-03,135.03,137.9,134.74,134.96,16097900,Small Cap
BEL,2025-10-03,406.8,413.8,405.1,412.65,16002501,Small Cap
HINDCOPPER,2025-10-03,338.0,343.7,335.0,338.4,15490540,Small Cap
NBCC,2025-10-03,109.81,113.6,109.21,113.12,11412595,Small Cap
AEGISLOG,2025-10-03,787.0,944.6,782.0,881.15,11044024,Small Cap
RBLBANK,2025-10-03,275.0,280.15,273.1,275.9,10145743,Small Cap
UCOBANK,2025-10-03,30.62,30.99,30.55,30.77,9227928,Small Cap
DELHIVERY,2025-10-03,435.1,440.75,427.4,437.3,8230495,Small Cap
EIHOTEL,2025-10-03,365.65,413.95,364.15,393.25,7181084,Small Cap
GMRINFRA,2025-10-03,89.4,90.27,89.05,89.28,6940845,Small Cap
IRB,2025-10-03,41.5,42.15,41.4,42.01,5837776,Small Cap
POONAWALLA,2025-10-03,505.0,528.8,499.35,524.4,5528559,Small Cap
HUDCO,2025-10-03,232.4,237.45,230.46,233.79,5360460,Small Cap
IOB,2025-10-03,39.58,40.15,39.54,39.89,5350085,Small Cap
CENTRALBK,2025-10-03,37.65,38.06,37.51,37.8,4734272,Small Cap
IDBI,2025-10-03,92.4,93.54,92.34,92.6,4621335,Small Cap
INOXWIND,2025-10-03,142.15,143.4,140.1,141.37,4050261,Small Cap
CROMPTON,2025-10-03,295.0,296.05,292.35,295.2,2633199,Small Cap
PPLPHARMA,2025-10-03,199.06,201.59,196.15,198.47,2576009,Small Cap
SJVN,2025-10-03,91.34,92.16,90.88,91.47,2216867,Small Cap
MANAPPURAM,2025-10-03,287.6,287.6,281.55,286.2,1835564,Small Cap
IRCON,2025-10-03,173.99,175.44,172.15,174.59,1757215,Small Cap
FSL,2025-10-03,326.3,329.0,316.4,321.45,1615411,Small Cap
GRSE,2025-10-03,2655.0,2733.8,2632.2,2724.4,1566682,Small Cap
COFORGE,2025-10-03,1595.0,1619.8,1588.5,1613.1,1434833,Small Cap
CDSL,2025-10-03,1475.5,1493.9,1470.0,1490.1,1372102,Small Cap
SHYAMMETL,2025-10-03,920.0,978.9,920.0,970.8,987823,Small Cap
HAL,2025-10-03,4794.4,4877.0,4790.1,4870.4,982333,Small Cap
ASTERDM,2025-10-03,629.75,647.9,626.55,645.65,971179,Small Cap
KPIGREEN,2025-10-03,449.7,459.0,445.05,452.6,733098,Small Cap
KIMS,2025-10-03,687.9,694.0,676.8,690.35,700714,Small Cap
ITI,2025-10-03,307.0,317.7,305.8,315.85,580011,Small Cap
WOCKPHARMA,2025-10-03,1506.2,1508.6,1450.5,1460.0,574724,Small Cap
IRCTC,2025-10-03,706.15,710.5,704.1,707.5,544147,Small Cap
GODIGIT,2025-10-03,343.05,346.9,334.85,338.6,520618,Small Cap
ASTRAL,2025-10-03,1376.4,1387.1,1360.8,1383.6,509629,Small Cap
MCX,2025-10-03,8038.0,8214.5,7980.0,8145.0,480878,Small Cap
NH,2025-10-03,1741.9,1803.0,1737.9,1753.0,477609,Small Cap
RAMCOCEM,2025-10-03,993.0,1004.8,977.35,989.75,476896,Small Cap
