Symbol,Date,Open,High,Low,Close,Volume,Category
GMRAIRPORT,2025-10-24,92.35,94.68,92.19,93.2,27201354,Mid Cap
NHPC,2025-10-24,85.71,86.8,84.61,84.79,16912048,Mid Cap
GAIL,2025-10-24,179.9,182.4,179.6,181.02,14617812,Mid Cap
LAURUSLABS,2025-10-24,943.0,943.0,902.35,926.4,8920106,Mid Cap
INDUSTOWER,2025-10-24,358.8,362.5,355.9,361.55,6707932,Mid Cap
ASHOKLEY,2025-10-24,137.91,138.5,135.82,136.35,6291344,Mid Cap
UNIONBANK,2025-10-24,142.71,144.0,140.8,141.77,5680097,Mid Cap
BHEL,2025-10-24,235.27,236.79,229.54,230.94,5297389,Mid Cap
LTF,2025-10-24,266.0,269.57,265.91,267.0,4221358,Mid Cap
DABUR,2025-10-24,512.4,512.4,498.4,508.45,3786598,Mid Cap
VBL,2025-10-24,465.35,465.55,459.25,461.4,3719605,Mid Cap
NTPCGREEN,2025-10-24,100.8,102.47,100.53,101.48,3591893,Mid Cap
NYKAA,2025-10-24,254.1,255.3,249.7,250.59,2775015,Mid Cap
ABCAPITAL,2025-10-24,308.85,309.95,303.95,306.15,2651597,Mid Cap
SBICARD,2025-10-24,927.85,936.9,890.75,928.95,2434129,Mid Cap
FORTIS,2025-10-24,1054.2,1065.7,1034.9,1037.3,2426439,Mid Cap
NAUKRI,2025-10-24,1380.0,1419.9,1373.8,1377.8,2376373,Mid Cap
RVNL,2025-10-24,330.95,333.45,328.05,329.45,2336043,Mid Cap
CHOLAFIN,2025-10-24,1685.0,1752.7,1678.1,1733.6,2128154,Mid Cap
BSE,2025-10-24,2492.9,2506.7,2466.2,2475.0,2121602,Mid Cap
INDUSINDBK,2025-10-24,759.95,759.95,750.85,755.05,2001556,Mid Cap
COLPAL,2025-10-24,2245.0,2246.8,2200.0,2239.4,1809292,Mid Cap
AUBANK,2025-10-24,872.0,875.05,858.25,860.35,1778097,Mid Cap
INDIANB,2025-10-24,828.0,852.85,814.65,820.05,1753487,Mid Cap
AMBUJACEM,2025-10-24,565.0,566.6,552.85,555.0,1704636,Mid Cap
JINDALSTEL,2025-10-24,1010.9,1027.9,1003.4,1008.2,1691676,Mid Cap
PAYTM,2025-10-24,1284.0,1297.3,1280.5,1287.0,1542964,Mid Cap
GODREJCP,2025-10-24,1132.1,1141.4,1114.1,1130.4,1376917,Mid Cap
MARICO,2025-10-24,724.8,727.9,713.0,725.85,1279440,Mid Cap
HAVELLS,2025-10-24,1501.8,1512.0,1491.4,1494.9,1009492,Mid Cap
MAZDOCK,2025-10-24,2824.0,2854.9,2790.1,2805.5,1007538,Mid Cap
