Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-22,8.5,8.67,8.35,8.39,886795850,Mid Cap
SUZLON,2025-09-22,60.4,60.97,59.67,59.93,62077740,Mid Cap
ASHOKLEY,2025-09-22,140.99,141.75,139.01,139.42,12613982,Mid Cap
NHPC,2025-09-22,87.8,88.6,87.14,87.73,10256621,Mid Cap
LTF,2025-09-22,246.7,252.2,246.7,248.09,7646105,Mid Cap
UNIONBANK,2025-09-22,140.35,141.56,138.33,138.81,7478022,Mid Cap
BHEL,2025-09-22,237.09,242.43,236.41,239.6,7227055,Mid Cap
ADANIENT,2025-09-22,2535.0,2659.0,2522.1,2629.5,7022985,Mid Cap
RVNL,2025-09-22,362.45,368.0,357.2,358.9,5537194,Mid Cap
GAIL,2025-09-22,181.6,182.36,179.85,180.95,5333007,Mid Cap
INDUSTOWER,2025-09-22,356.0,362.75,354.2,356.0,5271465,Mid Cap
AMBUJACEM,2025-09-22,585.0,600.8,581.2,590.3,4982920,Mid Cap
ABCAPITAL,2025-09-22,287.0,293.8,286.65,288.15,4733434,Mid Cap
GMRAIRPORT,2025-09-22,92.53,92.84,90.72,91.17,4486135,Mid Cap
NYKAA,2025-09-22,242.39,245.79,241.82,242.4,4006232,Mid Cap
NTPCGREEN,2025-09-22,104.03,104.5,103.39,103.83,3954807,Mid Cap
PAYTM,2025-09-22,1182.5,1206.0,1167.3,1196.2,3921140,Mid Cap
BIOCON,2025-09-22,369.5,370.95,358.85,362.15,3850328,Mid Cap
VBL,2025-09-22,475.0,476.0,463.1,463.95,3377847,Mid Cap
MAXHEALTH,2025-09-22,1165.9,1179.6,1160.6,1171.6,3370928,Mid Cap
CHOLAFIN,2025-09-22,1586.5,1644.2,1586.5,1630.0,2983892,Mid Cap
DABUR,2025-09-22,536.0,536.75,518.0,522.05,2892697,Mid Cap
BSE,2025-09-22,2175.0,2196.0,2150.0,2156.2,2789419,Mid Cap
LICI,2025-09-22,893.55,913.8,893.0,904.5,2590163,Mid Cap
NAUKRI,2025-09-22,1370.0,1426.0,1365.2,1417.7,2045289,Mid Cap
INDUSINDBK,2025-09-22,744.4,748.3,733.4,734.3,1884250,Mid Cap
