Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-17,7.97,8.0,7.71,7.77,587152972,Mid Cap
SUZLON,2025-09-17,60.0,60.08,58.75,59.29,63663995,Mid Cap
ASHOKLEY,2025-09-17,135.0,137.77,135.0,136.77,21279686,Mid Cap
RVNL,2025-09-17,356.0,369.85,355.6,360.8,17573057,Mid Cap
UNIONBANK,2025-09-17,134.5,138.45,134.0,137.03,15301909,Mid Cap
NHPC,2025-09-17,88.3,88.43,86.76,87.21,15170233,Mid Cap
VBL,2025-09-17,464.4,476.85,463.15,471.05,9799159,Mid Cap
GMRAIRPORT,2025-09-17,93.0,93.49,91.53,91.88,9066947,Mid Cap
NTPCGREEN,2025-09-17,105.96,106.0,103.87,104.08,6991565,Mid Cap
INDUSTOWER,2025-09-17,359.5,359.5,352.3,354.25,6344314,Mid Cap
MARICO,2025-09-17,730.0,730.0,709.95,711.9,5946154,Mid Cap
LTF,2025-09-17,241.0,243.7,238.93,242.89,5606036,Mid Cap
AMBUJACEM,2025-09-17,577.85,583.5,575.7,582.05,5524985,Mid Cap
BHEL,2025-09-17,233.0,234.99,232.4,234.32,5487958,Mid Cap
GAIL,2025-09-17,182.24,182.99,180.7,181.6,4834786,Mid Cap
MAXHEALTH,2025-09-17,1162.5,1166.5,1141.3,1153.8,4160131,Mid Cap
ABCAPITAL,2025-09-17,291.0,291.3,283.0,283.95,3795411,Mid Cap
AUBANK,2025-09-17,710.0,712.2,698.3,708.75,3506666,Mid Cap
BIOCON,2025-09-17,360.95,362.3,353.0,354.35,3387333,Mid Cap
PAYTM,2025-09-17,1230.0,1243.0,1218.4,1222.1,2591325,Mid Cap
BSE,2025-09-17,2209.3,2230.0,2201.0,2209.8,2575857,Mid Cap
NYKAA,2025-09-17,243.84,245.0,240.86,242.64,2504057,Mid Cap
NAUKRI,2025-09-17,1362.5,1401.9,1360.3,1375.0,2281760,Mid Cap
INDUSINDBK,2025-09-17,745.0,745.9,737.05,739.05,2280605,Mid Cap
INDIANB,2025-09-17,695.45,712.0,694.0,703.75,2175607,Mid Cap
MAZDOCK,2025-09-17,2945.32,3013.26,2944.62,2994.28,2110060,Mid Cap
TATACHEM,2025-09-17,982.95,1026.65,982.95,1005.15,1843644,Mid Cap
FORTIS,2025-09-17,967.0,970.2,952.05,962.6,1596331,Mid Cap
KPITTECH,2025-09-17,1262.0,1299.0,1259.0,1296.9,1588234,Mid Cap
JUBLFOOD,2025-09-17,634.0,636.0,623.3,627.7,1451523,Mid Cap
SBICARD,2025-09-17,892.45,905.0,890.0,893.3,1416725,Mid Cap
