Symbol,Date,Open,High,Low,Close,Volume,Category
ASHOKLEY,2025-09-30,143.13,143.79,141.63,142.67,13913548,Mid Cap
GMRAIRPORT,2025-09-30,86.92,87.95,86.08,87.2,13143816,Mid Cap
NHPC,2025-09-30,86.29,86.48,85.66,86.32,10452346,Mid Cap
GAIL,2025-09-30,176.5,177.32,175.5,176.29,9899684,Mid Cap
UNIONBANK,2025-09-30,135.89,139.15,135.68,138.51,9260926,Mid Cap
BHEL,2025-09-30,234.9,239.65,233.08,238.45,7781995,Mid Cap
VBL,2025-09-30,453.8,454.0,441.05,443.7,6732218,Mid Cap
NTPCGREEN,2025-09-30,97.39,98.65,96.78,97.21,6079407,Mid Cap
KPITTECH,2025-09-30,1215.7,1220.0,1066.2,1097.7,5978196,Mid Cap
INDUSTOWER,2025-09-30,344.8,347.8,340.9,342.9,5785588,Mid Cap
LTF,2025-09-30,245.75,249.9,245.15,249.28,5767268,Mid Cap
MAXHEALTH,2025-09-30,1115.7,1127.6,1108.0,1114.7,5570839,Mid Cap
NYKAA,2025-09-30,231.8,234.3,227.9,232.38,4787843,Mid Cap
RVNL,2025-09-30,343.3,343.9,336.05,339.45,4677413,Mid Cap
ABCAPITAL,2025-09-30,290.5,294.8,288.05,292.35,4665517,Mid Cap
INDIANB,2025-09-30,727.0,761.05,727.0,750.7,4621957,Mid Cap
INDUSINDBK,2025-09-30,730.0,737.7,722.55,735.55,3965781,Mid Cap
PAYTM,2025-09-30,1119.0,1125.9,1097.4,1123.8,3948602,Mid Cap
TATACHEM,2025-09-30,930.5,935.0,905.35,919.85,3622603,Mid Cap
BSE,2025-09-30,2105.0,2108.9,2035.1,2040.2,3613387,Mid Cap
AUBANK,2025-09-30,738.0,740.2,728.8,731.4,3387971,Mid Cap
CHOLAFIN,2025-09-30,1576.3,1624.0,1576.3,1610.8,2707464,Mid Cap
DABUR,2025-09-30,495.0,500.15,489.5,491.3,2645097,Mid Cap
FORTIS,2025-09-30,972.0,973.5,958.4,969.8,2065028,Mid Cap
JINDALSTEL,2025-09-30,1043.35,1069.0,1043.2,1063.75,1992711,Mid Cap
