Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-15,7.75,8.38,7.65,8.14,869467952,Mid Cap
SUZLON,2025-09-15,57.39,58.45,57.2,58.07,47861584,Mid Cap
NHPC,2025-09-15,83.92,86.79,83.5,86.61,26197108,Mid Cap
RVNL,2025-09-15,340.0,355.5,339.3,347.25,18797234,Mid Cap
GMRAIRPORT,2025-09-15,88.41,89.79,87.99,89.17,15155024,Mid Cap
ASHOKLEY,2025-09-15,134.11,136.0,133.19,133.94,10539375,Mid Cap
BHEL,2025-09-15,229.7,232.85,228.3,229.67,8536557,Mid Cap
UNIONBANK,2025-09-15,133.88,135.11,132.5,134.64,8200837,Mid Cap
NTPCGREEN,2025-09-15,103.0,105.38,103.0,103.56,7948930,Mid Cap
INDUSTOWER,2025-09-15,362.7,369.55,358.1,359.3,7809090,Mid Cap
NYKAA,2025-09-15,238.99,244.11,238.25,240.98,5301420,Mid Cap
LTF,2025-09-15,234.96,238.35,233.8,237.1,5279320,Mid Cap
GAIL,2025-09-15,179.0,180.57,177.66,179.93,4509947,Mid Cap
SBICARD,2025-09-15,854.4,902.0,846.55,900.05,3503837,Mid Cap
WAAREEENER,2025-09-15,3640.0,3728.0,3555.5,3581.1,3501031,Mid Cap
VBL,2025-09-15,471.0,474.0,470.25,471.65,3410341,Mid Cap
BSE,2025-09-15,2218.0,2254.3,2216.2,2227.4,3362642,Mid Cap
ABCAPITAL,2025-09-15,292.4,292.4,286.3,290.7,2760338,Mid Cap
MAXHEALTH,2025-09-15,1184.2,1186.9,1171.3,1175.4,2376299,Mid Cap
BIOCON,2025-09-15,367.0,367.0,357.0,358.25,2232052,Mid Cap
MARICO,2025-09-15,734.05,735.95,724.05,727.5,2023144,Mid Cap
AUBANK,2025-09-15,708.0,715.0,699.2,713.4,2009111,Mid Cap
AMBUJACEM,2025-09-15,562.65,571.5,561.0,568.75,1812617,Mid Cap
PAYTM,2025-09-15,1220.0,1240.8,1220.0,1228.0,1780921,Mid Cap
MAZDOCK,2025-09-15,2947.22,2954.71,2911.85,2922.24,1708949,Mid Cap
INDUSINDBK,2025-09-15,741.0,744.4,738.1,739.9,1499071,Mid Cap
LICI,2025-09-15,876.0,885.95,875.15,883.7,1113115,Mid Cap
TRENT,2025-09-15,5131.0,5175.0,5109.0,5133.0,955394,Mid Cap
SYNGENE,2025-09-15,663.4,673.7,658.1,670.8,910593,Mid Cap
JUBLFOOD,2025-09-15,635.5,636.0,627.75,631.8,861349,Mid Cap
NAUKRI,2025-09-15,1360.0,1374.8,1346.3,1362.8,849889,Mid Cap
