Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-25,8.63,8.84,8.58,8.68,734809470,Mid Cap
SUZLON,2025-09-25,57.5,58.2,56.45,56.64,38206699,Mid Cap
NHPC,2025-09-25,86.31,87.96,86.28,86.43,15155848,Mid Cap
ASHOKLEY,2025-09-25,141.9,141.9,140.1,140.45,10954407,Mid Cap
GAIL,2025-09-25,176.0,177.66,174.0,174.42,8858607,Mid Cap
VBL,2025-09-25,452.6,456.5,450.1,451.85,8207075,Mid Cap
GMRAIRPORT,2025-09-25,89.49,90.24,88.92,89.12,7859387,Mid Cap
UNIONBANK,2025-09-25,139.19,140.2,137.82,138.77,6552575,Mid Cap
INDUSTOWER,2025-09-25,358.0,361.0,355.05,356.45,6298204,Mid Cap
BSE,2025-09-25,2070.0,2095.0,2040.0,2043.3,5087377,Mid Cap
MAXHEALTH,2025-09-25,1138.4,1144.9,1133.9,1137.7,5022322,Mid Cap
PAYTM,2025-09-25,1159.9,1166.7,1132.1,1141.4,4228595,Mid Cap
RVNL,2025-09-25,345.6,355.9,345.0,346.55,4137205,Mid Cap
BHEL,2025-09-25,235.0,238.0,233.1,234.62,4026105,Mid Cap
LTF,2025-09-25,246.5,249.2,242.95,244.06,3255852,Mid Cap
ABCAPITAL,2025-09-25,293.0,294.45,285.05,286.5,3221602,Mid Cap
INDUSINDBK,2025-09-25,740.95,745.6,735.4,740.75,3037406,Mid Cap
NYKAA,2025-09-25,237.01,239.29,233.43,236.46,3006429,Mid Cap
NTPCGREEN,2025-09-25,102.0,102.74,101.6,101.72,2403723,Mid Cap
DABUR,2025-09-25,517.8,521.85,505.15,506.3,2356326,Mid Cap
POLICYBZR,2025-09-25,1725.0,1771.9,1707.7,1751.2,2153445,Mid Cap
AMBUJACEM,2025-09-25,585.0,588.8,577.8,579.4,1932523,Mid Cap
GODREJCP,2025-09-25,1186.0,1197.5,1174.1,1189.2,1908855,Mid Cap
BIOCON,2025-09-25,361.0,361.4,354.05,355.95,1822433,Mid Cap
INDIANB,2025-09-25,708.0,717.25,701.45,712.4,1777279,Mid Cap
MARICO,2025-09-25,710.4,711.35,702.1,703.6,1751179,Mid Cap
JUBLFOOD,2025-09-25,629.0,634.9,618.2,621.7,1675879,Mid Cap
JINDALSTEL,2025-09-25,1048.0,1059.3,1045.0,1051.7,1534438,Mid Cap
AUBANK,2025-09-25,733.25,747.55,730.2,741.6,1527974,Mid Cap
TRENT,2025-09-25,4914.5,4928.5,4710.0,4742.5,1518468,Mid Cap
ADANIENT,2025-09-25,2625.0,2647.9,2567.0,2576.4,1489682,Mid Cap
FORTIS,2025-09-25,960.4,965.0,942.5,944.6,1486815,Mid Cap
LUPIN,2025-09-25,2020.0,2040.0,1959.0,1963.5,1382226,Mid Cap
MAZDOCK,2025-09-25,2947.7,2993.3,2916.1,2924.2,1366015,Mid Cap
CHOLAFIN,2025-09-25,1627.0,1634.2,1586.7,1592.8,1350066,Mid Cap
ZYDUSLIFE,2025-09-25,1035.45,1042.4,1016.45,1019.25,1146210,Mid Cap
NAUKRI,2025-09-25,1385.3,1385.4,1351.7,1358.6,1099888,Mid Cap
LICI,2025-09-25,890.5,898.25,884.0,888.2,1069593,Mid Cap
KPITTECH,2025-09-25,1239.0,1280.0,1234.8,1255.7,1018183,Mid Cap
LAURUSLABS,2025-09-25,909.75,918.0,893.05,896.35,965496,Mid Cap
