Symbol,Date,Open,High,Low,Close,Volume,Category
IDEA,2025-09-16,8.23,8.24,7.82,7.94,848470807,Mid Cap
SUZLON,2025-09-16,58.3,59.65,58.29,58.98,83962341,Mid Cap
GMRAIRPORT,2025-09-16,89.49,93.41,89.26,92.84,32438451,Mid Cap
NHPC,2025-09-16,86.79,88.87,86.75,88.61,26870203,Mid Cap
NTPCGREEN,2025-09-16,104.95,108.75,104.57,105.35,23176354,Mid Cap
RVNL,2025-09-16,348.65,356.7,344.35,354.9,10201112,Mid Cap
ASHOKLEY,2025-09-16,134.3,135.57,133.99,134.54,9836983,Mid Cap
LTF,2025-09-16,237.6,241.28,237.17,241.03,7347308,Mid Cap
UNIONBANK,2025-09-16,134.95,135.07,133.0,134.29,6948055,Mid Cap
GAIL,2025-09-16,180.7,182.5,179.25,182.24,6383724,Mid Cap
BHEL,2025-09-16,230.1,232.68,229.12,232.19,5707608,Mid Cap
VBL,2025-09-16,470.0,472.7,461.85,462.9,4794399,Mid Cap
INDUSTOWER,2025-09-16,359.8,360.9,352.75,357.6,4475632,Mid Cap
MAXHEALTH,2025-09-16,1161.0,1173.2,1148.1,1158.7,4075700,Mid Cap
ABCAPITAL,2025-09-16,291.0,294.5,289.1,289.95,3714809,Mid Cap
BSE,2025-09-16,2235.0,2235.7,2180.4,2199.3,3431716,Mid Cap
CHOLAFIN,2025-09-16,1520.7,1588.2,1515.6,1583.1,3343241,Mid Cap
NYKAA,2025-09-16,241.03,244.39,240.37,243.74,3298726,Mid Cap
INDUSINDBK,2025-09-16,740.7,748.95,734.6,742.25,2892657,Mid Cap
PAYTM,2025-09-16,1232.0,1240.1,1218.0,1231.3,2890805,Mid Cap
AMBUJACEM,2025-09-16,575.75,578.45,570.5,573.65,2635252,Mid Cap
NAUKRI,2025-09-16,1371.0,1371.0,1343.0,1352.4,2612615,Mid Cap
AUBANK,2025-09-16,716.5,720.5,709.2,711.2,2510810,Mid Cap
WAAREEENER,2025-09-16,3601.0,3625.0,3535.0,3579.0,2102638,Mid Cap
MARICO,2025-09-16,729.95,731.75,719.55,723.9,1685896,Mid Cap
POLICYBZR,2025-09-16,1815.0,1838.9,1803.1,1822.0,1482851,Mid Cap
DABUR,2025-09-16,540.6,542.3,534.5,535.7,1405923,Mid Cap
JUBLFOOD,2025-09-16,632.75,637.3,629.9,632.95,1342924,Mid Cap
GODREJCP,2025-09-16,1262.0,1264.5,1225.1,1229.4,1294534,Mid Cap
JINDALSTEL,2025-09-16,1046.3,1056.0,1038.45,1053.35,1224328,Mid Cap
MAZDOCK,2025-09-16,2923.44,2956.11,2893.97,2943.32,1196416,Mid Cap
BIOCON,2025-09-16,359.45,361.95,358.35,360.2,968345,Mid Cap
LICI,2025-09-16,882.0,889.0,878.55,882.55,877033,Mid Cap
TATACHEM,2025-09-16,975.5,1004.65,974.15,982.55,871132,Mid Cap
LAURUSLABS,2025-09-16,895.0,906.55,892.6,894.85,852948,Mid Cap
SBICARD,2025-09-16,897.1,905.05,890.95,896.55,834035,Mid Cap
HAVELLS,2025-09-16,1602.0,1618.9,1594.7,1614.8,833915,Mid Cap
SYNGENE,2025-09-16,670.8,673.9,653.8,657.25,817761,Mid Cap
