Symbol,Date,Open,High,Low,Close,Volume,Category
NYKAA,2025-10-07,257.0,265.6,254.2,262.4,28356081,Mid Cap
NHPC,2025-10-07,86.48,87.28,86.2,86.46,10528798,Mid Cap
ASHOKLEY,2025-10-07,138.06,140.74,137.94,139.83,9538118,Mid Cap
GAIL,2025-10-07,176.61,180.24,176.54,179.9,8793661,Mid Cap
UNIONBANK,2025-10-07,137.0,139.15,136.75,138.54,8128536,Mid Cap
RVNL,2025-10-07,347.1,356.15,347.0,354.85,7443017,Mid Cap
BHEL,2025-10-07,245.6,246.27,242.48,244.86,6648973,Mid Cap
INDUSTOWER,2025-10-07,352.0,359.8,350.65,357.9,6631987,Mid Cap
BSE,2025-10-07,2237.0,2266.4,2180.0,2231.2,5976759,Mid Cap
ABCAPITAL,2025-10-07,304.85,307.8,302.25,303.5,5517581,Mid Cap
PAYTM,2025-10-07,1230.3,1254.6,1224.0,1237.6,4631035,Mid Cap
DABUR,2025-10-07,493.35,502.8,489.9,492.25,4534081,Mid Cap
INDUSINDBK,2025-10-07,742.95,752.4,740.45,749.0,4348518,Mid Cap
NTPCGREEN,2025-10-07,98.49,98.9,97.8,98.53,4157473,Mid Cap
MAXHEALTH,2025-10-07,1134.0,1140.0,1115.0,1130.7,3577437,Mid Cap
VBL,2025-10-07,438.5,441.65,436.3,440.0,3204014,Mid Cap
GMRAIRPORT,2025-10-07,88.77,89.15,88.21,88.39,3176718,Mid Cap
FORTIS,2025-10-07,1053.9,1055.5,1035.05,1041.8,3101947,Mid Cap
TRENT,2025-10-07,4695.0,4721.9,4590.0,4686.0,2789651,Mid Cap
LTF,2025-10-07,259.87,261.66,258.7,259.28,2508278,Mid Cap
AUBANK,2025-10-07,765.5,766.6,756.55,764.0,2437438,Mid Cap
UNOMINDA,2025-10-07,1335.9,1382.0,1312.7,1366.3,2302502,Mid Cap
JUBLFOOD,2025-10-07,624.5,628.95,611.25,613.9,2065698,Mid Cap
JINDALSTEL,2025-10-07,1058.0,1059.3,1029.9,1033.7,1938416,Mid Cap
BIOCON,2025-10-07,349.3,351.1,346.9,347.8,1920469,Mid Cap
MARICO,2025-10-07,715.95,721.95,711.25,714.95,1864614,Mid Cap
LAURUSLABS,2025-10-07,865.0,868.5,858.05,863.4,1833050,Mid Cap
CHOLAFIN,2025-10-07,1634.1,1640.0,1609.0,1631.6,1722326,Mid Cap
POLICYBZR,2025-10-07,1707.0,1787.9,1707.0,1765.0,1492069,Mid Cap
VOLTAS,2025-10-07,1360.0,1377.4,1356.1,1372.2,1282213,Mid Cap
