Symbol,Date,Open,High,Low,Close,Volume,Category
TATACOMM,2025-10-10,1701.6,1947.9,1701.6,1870.2,14534247,Mid Cap
GAIL,2025-10-10,178.3,181.0,178.3,179.21,12004977,Mid Cap
NTPCGREEN,2025-10-10,99.9,101.0,98.8,99.58,9592720,Mid Cap
UNIONBANK,2025-10-10,137.9,140.18,137.52,139.27,7959876,Mid Cap
BSE,2025-10-10,2335.0,2410.0,2332.6,2385.0,7275253,Mid Cap
NHPC,2025-10-10,86.67,87.71,86.3,86.94,7177243,Mid Cap
BHEL,2025-10-10,239.05,242.38,238.91,239.64,6959120,Mid Cap
ASHOKLEY,2025-10-10,138.8,139.52,137.4,137.55,6840339,Mid Cap
NYKAA,2025-10-10,263.0,268.25,262.7,265.19,6545523,Mid Cap
LTF,2025-10-10,260.02,262.14,254.66,256.04,6067478,Mid Cap
INDUSINDBK,2025-10-10,749.6,766.75,747.75,763.35,5386722,Mid Cap
GMRAIRPORT,2025-10-10,90.71,91.16,89.85,90.35,4874972,Mid Cap
INDUSTOWER,2025-10-10,354.85,358.9,353.0,353.7,4420019,Mid Cap
PAYTM,2025-10-10,1252.0,1257.6,1230.5,1236.9,4322055,Mid Cap
ABCAPITAL,2025-10-10,297.95,299.2,292.55,293.35,4281142,Mid Cap
LAURUSLABS,2025-10-10,873.0,891.15,843.0,876.75,3985430,Mid Cap
RVNL,2025-10-10,344.9,348.0,341.35,342.0,3046643,Mid Cap
MAXHEALTH,2025-10-10,1156.0,1163.0,1139.2,1156.4,2722755,Mid Cap
VOLTAS,2025-10-10,1399.0,1437.6,1390.3,1417.3,2611807,Mid Cap
VBL,2025-10-10,445.9,450.9,443.0,443.65,2528589,Mid Cap
JINDALSTEL,2025-10-10,1037.2,1039.8,1010.2,1015.2,2426076,Mid Cap
FORTIS,2025-10-10,1062.0,1067.85,1047.25,1060.3,2321964,Mid Cap
BIOCON,2025-10-10,352.05,357.9,348.6,353.45,2001620,Mid Cap
GODREJCP,2025-10-10,1130.0,1131.7,1121.2,1129.8,1721671,Mid Cap
INDIANB,2025-10-10,767.1,779.7,764.65,776.25,1637650,Mid Cap
DABUR,2025-10-10,485.4,490.85,485.4,489.7,1613675,Mid Cap
ZYDUSLIFE,2025-10-10,997.9,1010.0,987.0,993.45,1559044,Mid Cap
UNOMINDA,2025-10-10,1266.3,1266.9,1216.8,1219.8,1460826,Mid Cap
PRESTIGE,2025-10-10,1575.0,1638.0,1572.0,1621.6,1415750,Mid Cap
MARICO,2025-10-10,717.5,719.55,712.5,714.3,1412130,Mid Cap
JUBLFOOD,2025-10-10,599.15,603.0,597.4,602.3,1355094,Mid Cap
SYNGENE,2025-10-10,636.45,656.55,630.3,651.3,1247635,Mid Cap
AUBANK,2025-10-10,757.7,765.65,755.15,763.25,949662,Mid Cap
MAZDOCK,2025-10-10,2900.0,2929.7,2865.0,2870.1,900332,Mid Cap
AMBUJACEM,2025-10-10,565.8,573.0,564.5,569.25,891468,Mid Cap
LUPIN,2025-10-10,1957.6,1985.0,1931.7,1959.3,855550,Mid Cap
HAVELLS,2025-10-10,1481.2,1520.0,1480.2,1495.9,817076,Mid Cap
LICI,2025-10-10,895.0,907.4,891.3,897.8,815586,Mid Cap
TATAELXSI,2025-10-10,5549.5,5622.0,5400.0,5407.5,791616,Mid Cap
KPITTECH,2025-10-10,1162.4,1175.9,1150.9,1154.1,739324,Mid Cap
TRENT,2025-10-10,4670.0,4729.9,4652.1,4691.1,735165,Mid Cap
SRF,2025-10-10,3008.0,3031.0,2990.5,3024.5,733454,Mid Cap
POLICYBZR,2025-10-10,1740.9,1755.9,1721.3,1745.4,696837,Mid Cap
ADANIENT,2025-10-10,2552.0,2565.0,2538.8,2550.9,690142,Mid Cap
WAAREEENER,2025-10-10,3350.0,3386.4,3318.0,3333.4,645784,Mid Cap
SBICARD,2025-10-10,922.05,925.6,913.5,921.75,603757,Mid Cap
MUTHOOTFIN,2025-10-10,3233.0,3240.0,3150.5,3156.9,542445,Mid Cap
CUMMINSIND,2025-10-10,3961.8,4030.0,3900.1,3966.0,532967,Mid Cap
PIDILITIND,2025-10-10,1516.0,1522.0,1502.9,1510.6,476671,Mid Cap
NAUKRI,2025-10-10,1352.5,1353.3,1331.0,1333.1,462385,Mid Cap
CHOLAFIN,2025-10-10,1623.9,1630.9,1609.7,1614.2,451903,Mid Cap
HDFCAMC,2025-10-10,5495.0,5549.0,5452.0,5520.0,441813,Mid Cap
COLPAL,2025-10-10,2209.0,2232.9,2202.1,2227.8,334097,Mid Cap
MPHASIS,2025-10-10,2828.0,2828.0,2756.1,2783.2,299386,Mid Cap
TATACHEM,2025-10-10,906.1,909.95,902.0,903.05,288333,Mid Cap
LLOYDSME,2025-10-10,1351.4,1361.5,1336.0,1344.2,285977,Mid Cap
PERSISTENT,2025-10-10,5380.0,5403.5,5280.0,5357.7,277817,Mid Cap
APOLLOHOSP,2025-10-10,7694.5,7739.0,7660.0,7681.0,273853,Mid Cap
DIXON,2025-10-10,17130.0,17505.0,17082.0,17445.0,244288,Mid Cap
POLYCAB,2025-10-10,7645.0,7794.5,7645.0,7730.0,236521,Mid Cap
ABB,2025-10-10,5151.0,5210.0,5147.5,5186.0,180079,Mid Cap
ALKEM,2025-10-10,5480.5,5500.0,5412.5,5454.5,171470,Mid Cap
TORNTPOWER,2025-10-10,1240.5,1245.8,1232.5,1239.3,165273,Mid Cap
OFSS,2025-10-10,9380.0,9380.0,9181.0,9213.0,133863,Mid Cap
MANKIND,2025-10-10,2480.0,2500.9,2455.0,2459.9,133554,Mid Cap
ESCORTS,2025-10-10,3630.0,3693.9,3610.6,3638.1,108503,Mid Cap
BHARTIHEXA,2025-10-10,1737.1,1758.4,1736.0,1751.9,56944,Mid Cap
KPIL,2025-10-10,1257.4,1264.9,1245.3,1249.8,52180,Mid Cap
SUNDARMFIN,2025-10-10,4380.0,4437.0,4370.6,4409.5,23280,Mid Cap
PAGEIND,2025-10-10,42040.0,42140.0,41350.0,41640.0,22112,Mid Cap
ABBOTINDIA,2025-10-10,29735.0,30285.0,29575.0,30130.0,5450,Mid Cap
UCOBANK,2025-10-10,30.98,32.25,30.7,31.8,33582910,Small Cap
IRB,2025-10-10,42.08,43.99,42.08,43.41,22845323,Small Cap
SAIL,2025-10-10,136.5,136.5,131.47,132.17,21483357,Small Cap
HINDCOPPER,2025-10-10,365.0,365.0,341.1,344.55,20873761,Small Cap
ITI,2025-10-10,337.7,358.45,331.2,340.5,15760713,Small Cap
BEL,2025-10-10,409.0,415.5,408.35,413.5,13813014,Small Cap
CENTRALBK,2025-10-10,37.4,38.7,37.25,38.12,12534410,Small Cap
IOB,2025-10-10,39.27,40.71,39.05,40.23,12248734,Small Cap
RBLBANK,2025-10-10,284.5,292.85,284.5,291.6,10083597,Small Cap
INOXWIND,2025-10-10,148.09,152.34,147.22,150.08,10002574,Small Cap
