Symbol,Date,Open,High,Low,Close,Volume,Category
ASHOKLEY,2025-10-08,140.8,141.6,139.0,139.37,10813847,Mid Cap
NYKAA,2025-10-08,260.3,260.65,254.52,257.42,10204231,Mid Cap
GAIL,2025-10-08,180.83,181.3,177.13,177.52,9739699,Mid Cap
RVNL,2025-10-08,357.2,357.4,344.4,346.55,8765182,Mid Cap
NHPC,2025-10-08,86.6,86.75,84.99,85.44,8000224,Mid Cap
UNIONBANK,2025-10-08,139.25,139.25,135.72,136.02,7718941,Mid Cap
GMRAIRPORT,2025-10-08,88.38,88.45,86.95,87.59,6861831,Mid Cap
ABCAPITAL,2025-10-08,300.5,303.0,294.2,295.25,5342127,Mid Cap
NTPCGREEN,2025-10-08,98.54,99.0,98.27,98.55,4456655,Mid Cap
INDUSINDBK,2025-10-08,747.05,754.1,739.15,740.95,4238626,Mid Cap
BHEL,2025-10-08,244.85,245.56,237.73,239.04,4226459,Mid Cap
BSE,2025-10-08,2227.0,2264.3,2210.0,2244.2,3860482,Mid Cap
PAYTM,2025-10-08,1239.0,1252.9,1217.6,1224.9,3711426,Mid Cap
DABUR,2025-10-08,485.0,493.2,479.15,480.15,3627391,Mid Cap
BIOCON,2025-10-08,346.9,354.95,346.9,349.0,3503144,Mid Cap
VBL,2025-10-08,439.95,440.85,431.65,434.85,3378068,Mid Cap
AUBANK,2025-10-08,765.0,772.4,751.65,767.7,3344639,Mid Cap
MAXHEALTH,2025-10-08,1130.0,1147.4,1128.0,1144.4,3169556,Mid Cap
SBICARD,2025-10-08,915.0,938.0,906.9,920.2,2624444,Mid Cap
VOLTAS,2025-10-08,1367.1,1377.0,1341.4,1367.3,2610499,Mid Cap
LTF,2025-10-08,258.9,260.45,254.32,255.55,2485985,Mid Cap
GODREJCP,2025-10-08,1140.0,1146.9,1120.0,1130.7,2397531,Mid Cap
INDUSTOWER,2025-10-08,358.0,360.5,353.8,354.75,2273254,Mid Cap
FORTIS,2025-10-08,1041.8,1059.95,1041.3,1055.35,2109565,Mid Cap
AMBUJACEM,2025-10-08,569.95,571.7,556.3,566.3,1866324,Mid Cap
JUBLFOOD,2025-10-08,613.9,616.15,602.1,603.0,1674676,Mid Cap
MARICO,2025-10-08,710.0,713.95,707.0,710.8,1546833,Mid Cap
KPITTECH,2025-10-08,1170.0,1184.0,1151.5,1160.8,1506566,Mid Cap
JINDALSTEL,2025-10-08,1031.1,1040.0,1016.0,1019.2,1436225,Mid Cap
INDIANB,2025-10-08,757.7,765.75,754.9,760.6,1428706,Mid Cap
LICI,2025-10-08,911.0,912.55,890.15,893.8,1271632,Mid Cap
UNOMINDA,2025-10-08,1372.8,1374.9,1305.0,1311.4,1246776,Mid Cap
TRENT,2025-10-08,4709.0,4746.0,4606.4,4616.6,1114855,Mid Cap
ADANIENT,2025-10-08,2562.0,2565.0,2500.0,2524.1,1063357,Mid Cap
PIDILITIND,2025-10-08,1469.0,1498.5,1462.0,1493.7,1023522,Mid Cap
LAURUSLABS,2025-10-08,863.0,872.65,850.2,853.85,1005858,Mid Cap
POLICYBZR,2025-10-08,1775.0,1789.0,1756.7,1764.2,949482,Mid Cap
CHOLAFIN,2025-10-08,1620.0,1629.9,1602.2,1607.3,885008,Mid Cap
SYNGENE,2025-10-08,632.4,637.7,627.7,630.65,859528,Mid Cap
ZYDUSLIFE,2025-10-08,987.9,993.25,981.9,985.95,858560,Mid Cap
WAAREEENER,2025-10-08,3400.0,3400.0,3313.0,3323.4,795141,Mid Cap
SRF,2025-10-08,2965.0,3021.7,2956.4,2972.7,774445,Mid Cap
MPHASIS,2025-10-08,2782.0,2885.0,2782.0,2799.8,742778,Mid Cap
COLPAL,2025-10-08,2220.0,2229.8,2201.0,2217.6,629452,Mid Cap
MAZDOCK,2025-10-08,2876.0,2885.0,2805.8,2814.7,618666,Mid Cap
LUPIN,2025-10-08,1932.7,1942.0,1901.0,1905.6,556107,Mid Cap
NAUKRI,2025-10-08,1383.6,1388.0,1363.8,1367.5,548172,Mid Cap
ESCORTS,2025-10-08,3525.2,3742.8,3525.2,3627.2,522471,Mid Cap
TATACOMM,2025-10-08,1672.5,1708.0,1659.1,1689.2,449032,Mid Cap
HAVELLS,2025-10-08,1497.1,1509.0,1484.1,1503.5,416913,Mid Cap
TORNTPOWER,2025-10-08,1249.0,1253.0,1221.1,1225.0,409718,Mid Cap
ABB,2025-10-08,5236.5,5236.5,5101.0,5128.5,399870,Mid Cap
LLOYDSME,2025-10-08,1318.8,1318.8,1290.0,1295.9,385021,Mid Cap
TATAELXSI,2025-10-08,5389.5,5553.0,5346.5,5460.0,378764,Mid Cap
HDFCAMC,2025-10-08,5530.0,5566.0,5441.5,5475.5,329410,Mid Cap
PERSISTENT,2025-10-08,5262.0,5335.0,5209.1,5263.6,327033,Mid Cap
MUTHOOTFIN,2025-10-08,3248.0,3274.1,3220.0,3263.1,326225,Mid Cap
MANKIND,2025-10-08,2480.7,2493.6,2442.9,2454.9,285681,Mid Cap
TATACHEM,2025-10-08,920.5,923.2,905.25,907.9,276199,Mid Cap
PRESTIGE,2025-10-08,1520.0,1534.0,1505.0,1513.8,255887,Mid Cap
CUMMINSIND,2025-10-08,3956.5,3964.6,3882.5,3912.5,255169,Mid Cap
APOLLOHOSP,2025-10-08,7697.5,7762.0,7643.5,7662.0,188810,Mid Cap
BHARTIHEXA,2025-10-08,1766.3,1772.2,1728.6,1740.4,180139,Mid Cap
ALKEM,2025-10-08,5503.5,5544.5,5465.0,5493.5,175891,Mid Cap
OFSS,2025-10-08,9270.0,9315.0,9103.0,9189.5,165216,Mid Cap
POLYCAB,2025-10-08,7600.0,7675.0,7523.5,7588.0,150765,Mid Cap
DIXON,2025-10-08,17240.0,17299.0,16821.0,16859.0,132997,Mid Cap
KPIL,2025-10-08,1271.0,1271.0,1239.3,1244.4,76277,Mid Cap
SUNDARMFIN,2025-10-08,4428.2,4446.0,4351.1,4373.5,43711,Mid Cap
PAGEIND,2025-10-08,41690.0,42015.0,41265.0,41700.0,13956,Mid Cap
ABBOTINDIA,2025-10-08,29875.0,30255.0,29735.0,29925.0,4745,Mid Cap
ITI,2025-10-08,340.0,372.85,333.0,356.65,70864481,Small Cap
RBLBANK,2025-10-08,274.9,290.45,273.8,286.45,34201386,Small Cap
SAIL,2025-10-08,132.78,133.0,130.1,131.72,20062802,Small Cap
HINDCOPPER,2025-10-08,333.4,343.95,331.7,342.2,11126344,Small Cap
IRB,2025-10-08,42.09,42.44,41.71,41.79,11042447,Small Cap
BEL,2025-10-08,410.4,412.0,403.1,403.65,8668516,Small Cap
UCOBANK,2025-10-08,31.4,31.4,30.6,30.8,6942345,Small Cap
INOXWIND,2025-10-08,139.8,142.13,137.77,141.41,6927996,Small Cap
GMRINFRA,2025-10-08,88.38,88.45,86.95,87.59,6861831,Small Cap
NBCC,2025-10-08,112.62,112.98,110.5,111.05,5610463,Small Cap
ASTERDM,2025-10-08,665.9,706.0,661.8,698.55,4939510,Small Cap
IRCON,2025-10-08,183.7,183.74,177.8,179.09,4334006,Small Cap
IDBI,2025-10-08,93.05,93.18,90.95,91.25,4061788,Small Cap
CENTRALBK,2025-10-08,37.8,37.8,37.15,37.33,3938265,Small Cap
IOB,2025-10-08,39.65,39.8,38.98,39.12,3683799,Small Cap
CROMPTON,2025-10-08,289.8,289.8,285.0,285.95,3609043,Small Cap
COFORGE,2025-10-08,1682.5,1733.2,1673.3,1713.7,2733508,Small Cap
DELHIVERY,2025-10-08,470.2,471.5,461.05,467.3,2249868,Small Cap
POONAWALLA,2025-10-08,534.9,535.95,516.9,526.55,2234852,Small Cap
MANAPPURAM,2025-10-08,292.0,295.55,289.0,293.0,1978228,Small Cap
HUDCO,2025-10-08,231.4,231.98,225.0,225.68,1978002,Small Cap
SJVN,2025-10-08,90.9,90.9,89.78,89.92,1852462,Small Cap
PPLPHARMA,2025-10-08,194.61,197.79,193.32,193.8,1784235,Small Cap
CDSL,2025-10-08,1559.9,1571.0,1535.0,1539.7,1327054,Small Cap
GRSE,2025-10-08,2724.7,2738.0,2663.0,2683.6,1078745,Small Cap
IRCTC,2025-10-08,716.0,716.9,701.4,703.15,857598,Small Cap
KAYNES,2025-10-08,7593.0,7609.0,7165.5,7189.0,798839,Small Cap
AEGISLOG,2025-10-08,824.35,843.0,804.0,807.55,791430,Small Cap
HAL,2025-10-08,4842.0,4854.5,4762.9,4789.1,704075,Small Cap
